low-freq,neg_res,non_res
1,98.9010989010989,36.36363636363637
2,98.9010989010989,37.5
3,98.9010989010989,37.5
4,98.9010989010989,35.22727272727273
5,98.9010989010989,34.090909090909086
6,98.9010989010989,36.36363636363637
7,98.9010989010989,34.090909090909086
8,98.9010989010989,30.681818181818183
9,98.9010989010989,30.681818181818183
10,98.9010989010989,29.545454545454547
11,98.9010989010989,30.681818181818183
12,98.9010989010989,30.681818181818183
13,98.9010989010989,29.545454545454547
14,98.9010989010989,29.545454545454547
15,98.9010989010989,27.27272727272727
16,98.9010989010989,27.27272727272727
17,98.9010989010989,27.27272727272727
18,98.9010989010989,26.136363636363637
19,98.9010989010989,26.136363636363637
20,98.9010989010989,26.136363636363637
21,98.9010989010989,26.136363636363637
22,98.9010989010989,25.0
23,98.9010989010989,25.0
24,98.9010989010989,26.136363636363637
25,98.9010989010989,26.136363636363637
26,98.9010989010989,26.136363636363637
27,98.9010989010989,26.136363636363637
28,98.9010989010989,26.136363636363637
29,98.9010989010989,25.0
30,98.9010989010989,25.0
31,98.9010989010989,25.0
32,98.9010989010989,25.0
33,98.9010989010989,26.136363636363637
34,98.9010989010989,26.136363636363637
35,98.9010989010989,26.136363636363637
36,98.9010989010989,26.136363636363637
37,98.9010989010989,26.136363636363637
38,98.9010989010989,23.863636363636363
39,97.8021978021978,23.863636363636363
40,97.8021978021978,23.863636363636363
41,97.8021978021978,23.863636363636363
42,97.8021978021978,21.59090909090909
43,97.8021978021978,21.59090909090909
44,97.8021978021978,21.59090909090909
45,97.8021978021978,21.59090909090909
46,97.8021978021978,21.59090909090909
47,97.8021978021978,21.59090909090909
48,97.8021978021978,21.59090909090909
49,97.8021978021978,21.59090909090909
50,97.8021978021978,20.454545454545457
51,97.8021978021978,20.454545454545457
52,97.8021978021978,21.59090909090909
53,97.8021978021978,21.59090909090909
54,97.8021978021978,21.59090909090909
55,97.8021978021978,21.59090909090909
56,97.8021978021978,20.454545454545457
57,97.8021978021978,20.454545454545457
58,97.8021978021978,20.454545454545457
59,97.8021978021978,20.454545454545457
60,97.8021978021978,20.454545454545457
61,97.8021978021978,20.454545454545457
62,97.8021978021978,20.454545454545457
63,97.8021978021978,20.454545454545457
64,97.8021978021978,20.454545454545457
65,97.8021978021978,19.318181818181817
66,97.8021978021978,19.318181818181817
67,97.8021978021978,19.318181818181817
68,97.8021978021978,19.318181818181817
69,97.8021978021978,19.318181818181817
70,97.8021978021978,19.318181818181817
71,97.8021978021978,19.318181818181817
72,97.8021978021978,19.318181818181817
73,97.8021978021978,19.318181818181817
74,97.8021978021978,19.318181818181817
75,97.8021978021978,19.318181818181817
76,97.8021978021978,19.318181818181817
77,97.8021978021978,19.318181818181817
78,97.8021978021978,19.318181818181817
79,97.8021978021978,19.318181818181817
80,97.8021978021978,19.318181818181817
81,97.8021978021978,19.318181818181817
82,97.8021978021978,19.318181818181817
83,97.8021978021978,19.318181818181817
84,97.8021978021978,19.318181818181817
85,97.8021978021978,19.318181818181817
86,97.8021978021978,19.318181818181817
87,97.8021978021978,19.318181818181817
88,97.8021978021978,19.318181818181817
89,97.8021978021978,18.181818181818183
90,97.8021978021978,18.181818181818183
91,97.8021978021978,18.181818181818183
92,97.8021978021978,18.181818181818183
93,97.8021978021978,14.772727272727273
95,97.8021978021978,14.772727272727273
96,97.8021978021978,14.772727272727273
97,97.8021978021978,14.772727272727273
98,97.8021978021978,14.772727272727273
99,97.8021978021978,14.772727272727273
100,97.8021978021978,14.772727272727273
101,97.8021978021978,14.772727272727273
102,97.8021978021978,14.772727272727273
103,97.8021978021978,14.772727272727273
104,97.8021978021978,14.772727272727273
105,97.8021978021978,14.772727272727273
106,97.8021978021978,14.772727272727273
107,97.8021978021978,14.772727272727273
108,97.8021978021978,14.772727272727273
109,97.8021978021978,13.636363636363635
110,97.8021978021978,13.636363636363635
112,97.8021978021978,13.636363636363635
113,97.8021978021978,13.636363636363635
114,97.8021978021978,13.636363636363635
115,97.8021978021978,13.636363636363635
116,97.8021978021978,13.636363636363635
117,97.8021978021978,13.636363636363635
118,97.8021978021978,13.636363636363635
119,97.8021978021978,13.636363636363635
120,97.8021978021978,13.636363636363635
121,97.8021978021978,13.636363636363635
122,97.8021978021978,13.636363636363635
123,97.8021978021978,13.636363636363635
124,97.8021978021978,13.636363636363635
125,97.8021978021978,14.772727272727273
126,97.8021978021978,14.772727272727273
127,97.8021978021978,14.772727272727273
128,97.8021978021978,14.772727272727273
129,97.8021978021978,14.772727272727273
130,97.8021978021978,14.772727272727273
131,97.8021978021978,14.772727272727273
132,97.8021978021978,14.772727272727273
133,97.8021978021978,14.772727272727273
134,97.8021978021978,14.772727272727273
135,97.8021978021978,14.772727272727273
136,97.8021978021978,14.772727272727273
137,97.8021978021978,14.772727272727273
138,97.8021978021978,13.636363636363635
139,97.8021978021978,13.636363636363635
140,97.8021978021978,13.636363636363635
141,97.8021978021978,13.636363636363635
142,97.8021978021978,13.636363636363635
143,97.8021978021978,13.636363636363635
144,97.8021978021978,13.636363636363635
146,97.8021978021978,13.636363636363635
147,97.8021978021978,13.636363636363635
148,97.8021978021978,13.636363636363635
149,97.8021978021978,13.636363636363635
150,97.8021978021978,13.636363636363635
151,97.8021978021978,13.636363636363635
152,97.8021978021978,13.636363636363635
154,97.8021978021978,13.636363636363635
155,97.8021978021978,13.636363636363635
157,97.8021978021978,13.636363636363635
158,97.8021978021978,13.636363636363635
160,97.8021978021978,13.636363636363635
162,97.8021978021978,13.636363636363635
163,97.8021978021978,13.636363636363635
164,97.8021978021978,12.5
165,97.8021978021978,12.5
167,97.8021978021978,11.363636363636363
