high-freq,tp,fn,fp,tn,accuracy,precision,recall
5937,99,1,60,40,0.695,0.6226415094339622,0.99
4029,99,1,60,40,0.695,0.6226415094339622,0.99
3544,99,1,60,40,0.695,0.6226415094339622,0.99
3484,99,1,58,42,0.705,0.6305732484076433,0.99
3104,98,2,56,44,0.71,0.6363636363636364,0.98
2756,98,2,56,44,0.71,0.6363636363636364,0.98
2720,98,2,53,47,0.725,0.6490066225165563,0.98
2668,98,2,53,47,0.725,0.6490066225165563,0.98
2569,98,2,53,47,0.725,0.6490066225165563,0.98
2480,98,2,53,47,0.725,0.6490066225165563,0.98
2351,97,3,53,47,0.72,0.6466666666666666,0.97
2346,97,3,52,48,0.725,0.6510067114093959,0.97
2078,97,3,51,49,0.73,0.6554054054054054,0.97
1915,97,3,51,49,0.73,0.6554054054054054,0.97
1749,97,3,51,49,0.73,0.6554054054054054,0.97
1719,97,3,51,49,0.73,0.6554054054054054,0.97
1695,97,3,51,49,0.73,0.6554054054054054,0.97
1557,97,3,51,49,0.73,0.6554054054054054,0.97
1496,97,3,50,50,0.735,0.6598639455782312,0.97
1446,97,3,49,51,0.74,0.6643835616438356,0.97
1319,97,3,49,51,0.74,0.6643835616438356,0.97
1309,97,3,48,52,0.745,0.6689655172413793,0.97
1305,97,3,48,52,0.745,0.6689655172413793,0.97
1272,98,2,54,46,0.72,0.6447368421052632,0.98
1270,98,2,54,46,0.72,0.6447368421052632,0.98
1265,98,2,54,46,0.72,0.6447368421052632,0.98
1264,98,2,54,46,0.72,0.6447368421052632,0.98
1262,98,2,53,47,0.725,0.6490066225165563,0.98
1201,98,2,53,47,0.725,0.6490066225165563,0.98
1189,97,3,53,47,0.72,0.6466666666666666,0.97
1167,97,3,53,47,0.72,0.6466666666666666,0.97
1074,97,3,51,49,0.73,0.6554054054054054,0.97
1060,97,3,51,49,0.73,0.6554054054054054,0.97
1056,97,3,51,49,0.73,0.6554054054054054,0.97
999,97,3,51,49,0.73,0.6554054054054054,0.97
990,97,3,50,50,0.735,0.6598639455782312,0.97
