alpha-num,neg_res,non_res
1,98.9010989010989,42.04545454545455
2,98.9010989010989,42.04545454545455
4,98.9010989010989,42.04545454545455
8,98.9010989010989,42.04545454545455
16,98.9010989010989,42.04545454545455
32,98.9010989010989,42.04545454545455
64,98.9010989010989,42.04545454545455
128,98.9010989010989,42.04545454545455
256,98.9010989010989,42.04545454545455
512,98.9010989010989,42.04545454545455
1024,98.9010989010989,42.04545454545455
2048,98.9010989010989,42.04545454545455
4096,98.9010989010989,42.04545454545455
8192,98.9010989010989,42.04545454545455
16384,98.9010989010989,42.04545454545455
32768,98.9010989010989,42.04545454545455
65536,98.9010989010989,42.04545454545455
131072,98.9010989010989,42.04545454545455
262144,98.9010989010989,42.04545454545455
524288,98.9010989010989,42.04545454545455
1048576,98.9010989010989,42.04545454545455
2097152,98.9010989010989,42.04545454545455
4194304,98.9010989010989,42.04545454545455
8388608,98.9010989010989,42.04545454545455
16777216,98.9010989010989,42.04545454545455
33554432,98.9010989010989,42.04545454545455
67108864,98.9010989010989,42.04545454545455
134217728,98.9010989010989,42.04545454545455
268435456,98.9010989010989,42.04545454545455
536870912,98.9010989010989,42.04545454545455
1073741824,98.9010989010989,42.04545454545455
2147483648,98.9010989010989,42.04545454545455
4294967296,98.9010989010989,42.04545454545455
8589934592,98.9010989010989,42.04545454545455
17179869184,98.9010989010989,42.04545454545455
34359738368,98.9010989010989,42.04545454545455
68719476736,98.9010989010989,42.04545454545455
