high-freq,neg_res,non_res
5943,100.0,40.909090909090914
4481,100.0,82.95454545454545
4036,100.0,82.95454545454545
3522,100.0,82.95454545454545
3142,100.0,82.95454545454545
2769,100.0,82.95454545454545
2723,100.0,82.95454545454545
2676,100.0,82.95454545454545
2672,100.0,82.95454545454545
2570,100.0,82.95454545454545
2356,100.0,82.95454545454545
2346,100.0,82.95454545454545
2160,100.0,82.95454545454545
2095,100.0,84.0909090909091
1915,100.0,84.0909090909091
1736,100.0,84.0909090909091
1724,100.0,84.0909090909091
1717,100.0,84.0909090909091
1643,100.0,84.0909090909091
1498,100.0,84.0909090909091
1366,100.0,84.0909090909091
1342,100.0,84.0909090909091
1339,100.0,84.0909090909091
1335,100.0,84.0909090909091
1327,100.0,84.0909090909091
1279,100.0,84.0909090909091
1276,100.0,84.0909090909091
1275,100.0,84.0909090909091
1265,100.0,85.22727272727273
1259,100.0,85.22727272727273
1213,100.0,85.22727272727273
1171,100.0,85.22727272727273
1088,100.0,85.22727272727273
1077,100.0,85.22727272727273
1056,100.0,85.22727272727273
999,100.0,85.22727272727273
991,100.0,85.22727272727273
982,100.0,85.22727272727273
941,100.0,85.22727272727273
927,100.0,85.22727272727273
903,100.0,85.22727272727273
898,100.0,85.22727272727273
890,100.0,85.22727272727273
887,100.0,85.22727272727273
868,100.0,86.36363636363636
811,100.0,86.36363636363636
791,100.0,86.36363636363636
786,100.0,86.36363636363636
780,100.0,86.36363636363636
771,100.0,86.36363636363636
761,100.0,86.36363636363636
757,100.0,86.36363636363636
752,100.0,86.36363636363636
740,100.0,86.36363636363636
732,100.0,86.36363636363636
722,100.0,86.36363636363636
714,100.0,86.36363636363636
683,100.0,86.36363636363636
678,100.0,86.36363636363636
671,100.0,88.63636363636364
664,100.0,88.63636363636364
652,100.0,88.63636363636364
640,100.0,88.63636363636364
606,100.0,88.63636363636364
594,100.0,88.63636363636364
584,100.0,88.63636363636364
583,100.0,88.63636363636364
581,100.0,88.63636363636364
580,100.0,88.63636363636364
560,100.0,88.63636363636364
554,100.0,88.63636363636364
542,100.0,88.63636363636364
515,100.0,88.63636363636364
511,100.0,88.63636363636364
496,100.0,88.63636363636364
487,100.0,88.63636363636364
486,100.0,88.63636363636364
485,100.0,88.63636363636364
481,100.0,88.63636363636364
478,100.0,89.77272727272727
477,100.0,89.77272727272727
467,100.0,89.77272727272727
461,100.0,89.77272727272727
455,100.0,89.77272727272727
454,100.0,89.77272727272727
448,100.0,88.63636363636364
447,100.0,88.63636363636364
445,100.0,88.63636363636364
441,100.0,88.63636363636364
440,100.0,88.63636363636364
439,100.0,88.63636363636364
437,100.0,88.63636363636364
435,100.0,88.63636363636364
432,100.0,89.77272727272727
425,100.0,89.77272727272727
419,100.0,89.77272727272727
418,100.0,89.77272727272727
414,100.0,89.77272727272727
410,100.0,89.77272727272727
409,100.0,89.77272727272727
403,100.0,89.77272727272727
402,100.0,89.77272727272727
396,100.0,89.77272727272727
394,100.0,92.04545454545455
391,100.0,87.5
389,100.0,87.5
387,100.0,87.5
385,100.0,87.5
384,100.0,87.5
383,100.0,87.5
380,100.0,87.5
377,100.0,87.5
374,100.0,87.5
373,100.0,87.5
367,100.0,87.5
365,100.0,87.5
353,100.0,87.5
352,100.0,87.5
351,100.0,87.5
349,100.0,87.5
347,100.0,88.63636363636364
345,100.0,88.63636363636364
337,100.0,88.63636363636364
335,100.0,88.63636363636364
333,100.0,88.63636363636364
331,100.0,88.63636363636364
328,100.0,88.63636363636364
322,100.0,88.63636363636364
320,100.0,87.5
319,100.0,87.5
317,100.0,87.5
315,100.0,87.5
314,100.0,87.5
309,100.0,88.63636363636364
304,100.0,88.63636363636364
302,100.0,88.63636363636364
299,100.0,88.63636363636364
294,100.0,88.63636363636364
288,100.0,88.63636363636364
286,100.0,88.63636363636364
282,100.0,88.63636363636364
281,100.0,88.63636363636364
278,100.0,88.63636363636364
275,100.0,88.63636363636364
272,100.0,88.63636363636364
269,100.0,88.63636363636364
268,100.0,88.63636363636364
266,100.0,88.63636363636364
262,100.0,88.63636363636364
261,100.0,88.63636363636364
259,100.0,88.63636363636364
257,100.0,88.63636363636364
253,100.0,88.63636363636364
252,100.0,88.63636363636364
250,100.0,88.63636363636364
249,100.0,88.63636363636364
247,100.0,88.63636363636364
245,100.0,88.63636363636364
244,100.0,88.63636363636364
242,100.0,88.63636363636364
241,100.0,88.63636363636364
239,100.0,88.63636363636364
237,100.0,88.63636363636364
236,100.0,88.63636363636364
235,100.0,88.63636363636364
231,100.0,88.63636363636364
229,100.0,88.63636363636364
228,100.0,88.63636363636364
225,100.0,88.63636363636364
221,100.0,88.63636363636364
220,100.0,88.63636363636364
218,100.0,88.63636363636364
217,100.0,88.63636363636364
216,100.0,88.63636363636364
215,100.0,87.5
214,100.0,87.5
213,100.0,87.5
211,100.0,87.5
210,100.0,87.5
209,100.0,88.63636363636364
203,100.0,88.63636363636364
202,100.0,90.9090909090909
201,100.0,90.9090909090909
200,100.0,90.9090909090909
199,100.0,90.9090909090909
195,100.0,90.9090909090909
194,100.0,90.9090909090909
192,100.0,90.9090909090909
191,100.0,90.9090909090909
190,100.0,90.9090909090909
189,100.0,90.9090909090909
188,100.0,90.9090909090909
187,100.0,90.9090909090909
183,100.0,90.9090909090909
178,100.0,92.04545454545455
177,100.0,92.04545454545455
176,100.0,92.04545454545455
175,100.0,92.04545454545455
174,100.0,93.18181818181817
172,100.0,93.18181818181817
171,100.0,93.18181818181817
170,100.0,94.31818181818183
168,100.0,94.31818181818183
167,100.0,94.31818181818183
166,100.0,94.31818181818183
162,100.0,94.31818181818183
161,100.0,94.31818181818183
160,100.0,95.45454545454545
159,100.0,95.45454545454545
158,100.0,95.45454545454545
157,100.0,95.45454545454545
156,100.0,95.45454545454545
155,100.0,95.45454545454545
153,100.0,95.45454545454545
152,100.0,95.45454545454545
151,100.0,95.45454545454545
150,100.0,95.45454545454545
149,100.0,95.45454545454545
148,100.0,95.45454545454545
147,100.0,95.45454545454545
146,100.0,95.45454545454545
145,100.0,95.45454545454545
143,100.0,95.45454545454545
142,100.0,95.45454545454545
140,100.0,95.45454545454545
139,100.0,95.45454545454545
138,100.0,95.45454545454545
136,100.0,95.45454545454545
135,100.0,95.45454545454545
