high-freq,tp,fn,fp,tn,accuracy,precision,recall
5938,98,2,55,45,0.715,0.6405228758169934,0.98
4031,98,2,54,46,0.72,0.6447368421052632,0.98
3545,98,2,54,46,0.72,0.6447368421052632,0.98
3139,98,2,54,46,0.72,0.6447368421052632,0.98
2863,98,2,52,48,0.73,0.6533333333333333,0.98
2756,98,2,52,48,0.73,0.6533333333333333,0.98
2718,97,3,50,50,0.735,0.6598639455782312,0.97
2671,97,3,49,51,0.74,0.6643835616438356,0.97
2569,97,3,49,51,0.74,0.6643835616438356,0.97
2481,97,3,49,51,0.74,0.6643835616438356,0.97
2351,97,3,49,51,0.74,0.6643835616438356,0.97
2346,97,3,48,52,0.745,0.6689655172413793,0.97
2078,97,3,46,54,0.755,0.6783216783216783,0.97
1915,97,3,46,54,0.755,0.6783216783216783,0.97
1749,97,3,46,54,0.755,0.6783216783216783,0.97
1718,96,4,46,54,0.75,0.676056338028169,0.96
1557,96,4,46,54,0.75,0.676056338028169,0.96
1497,96,4,45,55,0.755,0.6808510638297872,0.96
1336,96,4,45,55,0.755,0.6808510638297872,0.96
1324,96,4,45,55,0.755,0.6808510638297872,0.96
1320,96,4,44,56,0.76,0.6857142857142857,0.96
1309,95,5,44,56,0.755,0.6834532374100719,0.95
1265,95,5,44,56,0.755,0.6834532374100719,0.95
1264,95,5,44,56,0.755,0.6834532374100719,0.95
1254,95,5,44,56,0.755,0.6834532374100719,0.95
1188,95,5,44,56,0.755,0.6834532374100719,0.95
1174,95,5,43,57,0.76,0.6884057971014492,0.95
1100,95,5,43,57,0.76,0.6884057971014492,0.95
1075,95,5,42,58,0.765,0.6934306569343066,0.95
1056,95,5,42,58,0.765,0.6934306569343066,0.95
998,95,5,42,58,0.765,0.6934306569343066,0.95
989,95,5,42,58,0.765,0.6934306569343066,0.95
963,95,5,41,59,0.77,0.6985294117647058,0.95
957,95,5,41,59,0.77,0.6985294117647058,0.95
934,94,6,41,59,0.765,0.6962962962962963,0.94
898,94,6,41,59,0.765,0.6962962962962963,0.94
885,94,6,41,59,0.765,0.6962962962962963,0.94
866,94,6,41,59,0.765,0.6962962962962963,0.94
813,94,6,41,59,0.765,0.6962962962962963,0.94
806,94,6,41,59,0.765,0.6962962962962963,0.94
775,94,6,41,59,0.765,0.6962962962962963,0.94
770,94,6,41,59,0.765,0.6962962962962963,0.94
760,94,6,41,59,0.765,0.6962962962962963,0.94
755,94,6,41,59,0.765,0.6962962962962963,0.94
750,94,6,41,59,0.765,0.6962962962962963,0.94
749,94,6,42,58,0.76,0.6911764705882353,0.94
732,94,6,42,58,0.76,0.6911764705882353,0.94
724,94,6,42,58,0.76,0.6911764705882353,0.94
708,94,6,42,58,0.76,0.6911764705882353,0.94
670,94,6,42,58,0.76,0.6911764705882353,0.94
642,94,6,42,58,0.76,0.6911764705882353,0.94
616,94,6,42,58,0.76,0.6911764705882353,0.94
604,94,6,42,58,0.76,0.6911764705882353,0.94
599,94,6,42,58,0.76,0.6911764705882353,0.94
598,94,6,42,58,0.76,0.6911764705882353,0.94
586,94,6,42,58,0.76,0.6911764705882353,0.94
581,94,6,42,58,0.76,0.6911764705882353,0.94
580,94,6,42,58,0.76,0.6911764705882353,0.94
562,94,6,42,58,0.76,0.6911764705882353,0.94
556,94,6,42,58,0.76,0.6911764705882353,0.94
549,94,6,41,59,0.765,0.6962962962962963,0.94
535,94,6,41,59,0.765,0.6962962962962963,0.94
533,94,6,41,59,0.765,0.6962962962962963,0.94
530,94,6,41,59,0.765,0.6962962962962963,0.94
512,94,6,44,56,0.75,0.6811594202898551,0.94
507,94,6,44,56,0.75,0.6811594202898551,0.94
487,94,6,44,56,0.75,0.6811594202898551,0.94
484,94,6,44,56,0.75,0.6811594202898551,0.94
478,94,6,44,56,0.75,0.6811594202898551,0.94
476,94,6,44,56,0.75,0.6811594202898551,0.94
473,94,6,43,57,0.755,0.6861313868613139,0.94
468,94,6,43,57,0.755,0.6861313868613139,0.94
466,94,6,43,57,0.755,0.6861313868613139,0.94
453,94,6,43,57,0.755,0.6861313868613139,0.94
448,94,6,43,57,0.755,0.6861313868613139,0.94
447,94,6,43,57,0.755,0.6861313868613139,0.94
444,94,6,43,57,0.755,0.6861313868613139,0.94
441,94,6,42,58,0.76,0.6911764705882353,0.94
436,94,6,42,58,0.76,0.6911764705882353,0.94
433,94,6,41,59,0.765,0.6962962962962963,0.94
431,94,6,41,59,0.765,0.6962962962962963,0.94
428,94,6,42,58,0.76,0.6911764705882353,0.94
423,94,6,42,58,0.76,0.6911764705882353,0.94
410,94,6,42,58,0.76,0.6911764705882353,0.94
408,94,6,42,58,0.76,0.6911764705882353,0.94
404,94,6,42,58,0.76,0.6911764705882353,0.94
403,94,6,42,58,0.76,0.6911764705882353,0.94
401,94,6,42,58,0.76,0.6911764705882353,0.94
397,94,6,42,58,0.76,0.6911764705882353,0.94
394,94,6,42,58,0.76,0.6911764705882353,0.94
390,94,6,42,58,0.76,0.6911764705882353,0.94
383,94,6,42,58,0.76,0.6911764705882353,0.94
382,94,6,41,59,0.765,0.6962962962962963,0.94
376,94,6,40,60,0.77,0.7014925373134329,0.94
371,94,6,40,60,0.77,0.7014925373134329,0.94
368,94,6,40,60,0.77,0.7014925373134329,0.94
366,94,6,40,60,0.77,0.7014925373134329,0.94
365,94,6,40,60,0.77,0.7014925373134329,0.94
364,94,6,40,60,0.77,0.7014925373134329,0.94
362,94,6,40,60,0.77,0.7014925373134329,0.94
359,94,6,40,60,0.77,0.7014925373134329,0.94
354,93,7,40,60,0.765,0.6992481203007519,0.93
346,93,7,40,60,0.765,0.6992481203007519,0.93
345,93,7,40,60,0.765,0.6992481203007519,0.93
343,93,7,40,60,0.765,0.6992481203007519,0.93
335,93,7,40,60,0.765,0.6992481203007519,0.93
333,93,7,40,60,0.765,0.6992481203007519,0.93
328,93,7,40,60,0.765,0.6992481203007519,0.93
324,93,7,40,60,0.765,0.6992481203007519,0.93
315,93,7,40,60,0.765,0.6992481203007519,0.93
314,93,7,40,60,0.765,0.6992481203007519,0.93
302,93,7,40,60,0.765,0.6992481203007519,0.93
294,93,7,40,60,0.765,0.6992481203007519,0.93
293,93,7,40,60,0.765,0.6992481203007519,0.93
290,93,7,39,61,0.77,0.7045454545454546,0.93
287,93,7,39,61,0.77,0.7045454545454546,0.93
286,93,7,39,61,0.77,0.7045454545454546,0.93
285,93,7,39,61,0.77,0.7045454545454546,0.93
284,93,7,39,61,0.77,0.7045454545454546,0.93
275,93,7,39,61,0.77,0.7045454545454546,0.93
273,93,7,39,61,0.77,0.7045454545454546,0.93
269,93,7,39,61,0.77,0.7045454545454546,0.93
268,93,7,39,61,0.77,0.7045454545454546,0.93
265,93,7,39,61,0.77,0.7045454545454546,0.93
264,93,7,39,61,0.77,0.7045454545454546,0.93
263,93,7,39,61,0.77,0.7045454545454546,0.93
250,93,7,39,61,0.77,0.7045454545454546,0.93
248,93,7,39,61,0.77,0.7045454545454546,0.93
247,90,10,39,61,0.755,0.6976744186046512,0.9
246,90,10,38,62,0.76,0.703125,0.9
244,90,10,38,62,0.76,0.703125,0.9
243,90,10,38,62,0.76,0.703125,0.9
242,90,10,38,62,0.76,0.703125,0.9
241,90,10,38,62,0.76,0.703125,0.9
239,90,10,37,63,0.765,0.7086614173228346,0.9
237,90,10,36,64,0.77,0.7142857142857143,0.9
236,90,10,35,65,0.775,0.72,0.9
235,90,10,35,65,0.775,0.72,0.9
234,90,10,36,64,0.77,0.7142857142857143,0.9
232,90,10,36,64,0.77,0.7142857142857143,0.9
231,90,10,36,64,0.77,0.7142857142857143,0.9
230,90,10,36,64,0.77,0.7142857142857143,0.9
228,90,10,36,64,0.77,0.7142857142857143,0.9
226,90,10,35,65,0.775,0.72,0.9
224,89,11,35,65,0.77,0.717741935483871,0.89
219,89,11,35,65,0.77,0.717741935483871,0.89
218,89,11,35,65,0.77,0.717741935483871,0.89
217,89,11,35,65,0.77,0.717741935483871,0.89
215,89,11,35,65,0.77,0.717741935483871,0.89
214,89,11,35,65,0.77,0.717741935483871,0.89
211,89,11,35,65,0.77,0.717741935483871,0.89
210,89,11,35,65,0.77,0.717741935483871,0.89
208,89,11,35,65,0.77,0.717741935483871,0.89
205,89,11,35,65,0.77,0.717741935483871,0.89
204,89,11,35,65,0.77,0.717741935483871,0.89
203,89,11,35,65,0.77,0.717741935483871,0.89
201,89,11,35,65,0.77,0.717741935483871,0.89
200,89,11,34,66,0.775,0.7235772357723578,0.89
198,89,11,34,66,0.775,0.7235772357723578,0.89
197,89,11,34,66,0.775,0.7235772357723578,0.89
195,89,11,34,66,0.775,0.7235772357723578,0.89
194,89,11,34,66,0.775,0.7235772357723578,0.89
192,89,11,34,66,0.775,0.7235772357723578,0.89
191,88,12,34,66,0.77,0.7213114754098361,0.88
190,89,11,34,66,0.775,0.7235772357723578,0.89
188,89,11,34,66,0.775,0.7235772357723578,0.89
187,88,12,34,66,0.77,0.7213114754098361,0.88
183,88,12,34,66,0.77,0.7213114754098361,0.88
182,87,13,34,66,0.765,0.71900826446281,0.87
181,87,13,34,66,0.765,0.71900826446281,0.87
180,87,13,34,66,0.765,0.71900826446281,0.87
178,87,13,34,66,0.765,0.71900826446281,0.87
176,87,13,34,66,0.765,0.71900826446281,0.87
175,87,13,34,66,0.765,0.71900826446281,0.87
173,86,14,34,66,0.76,0.7166666666666667,0.86
172,86,14,34,66,0.76,0.7166666666666667,0.86
170,86,14,34,66,0.76,0.7166666666666667,0.86
169,86,14,34,66,0.76,0.7166666666666667,0.86
168,87,13,34,66,0.765,0.71900826446281,0.87
167,87,13,34,66,0.765,0.71900826446281,0.87
166,87,13,34,66,0.765,0.71900826446281,0.87
165,87,13,34,66,0.765,0.71900826446281,0.87
163,87,13,34,66,0.765,0.71900826446281,0.87
162,87,13,34,66,0.765,0.71900826446281,0.87
