alpha-num,tp,fn,fp,tn,accuracy,precision,recall
1,98,2,55,45,0.715,0.6405228758169934,0.98
2,98,2,55,45,0.715,0.6405228758169934,0.98
4,98,2,55,45,0.715,0.6405228758169934,0.98
8,98,2,55,45,0.715,0.6405228758169934,0.98
16,98,2,55,45,0.715,0.6405228758169934,0.98
32,98,2,55,45,0.715,0.6405228758169934,0.98
64,98,2,55,45,0.715,0.6405228758169934,0.98
128,98,2,55,45,0.715,0.6405228758169934,0.98
256,98,2,55,45,0.715,0.6405228758169934,0.98
512,98,2,55,45,0.715,0.6405228758169934,0.98
1024,98,2,55,45,0.715,0.6405228758169934,0.98
2048,98,2,55,45,0.715,0.6405228758169934,0.98
4096,98,2,55,45,0.715,0.6405228758169934,0.98
8192,98,2,55,45,0.715,0.6405228758169934,0.98
16384,98,2,55,45,0.715,0.6405228758169934,0.98
32768,98,2,55,45,0.715,0.6405228758169934,0.98
65536,98,2,55,45,0.715,0.6405228758169934,0.98
131072,98,2,55,45,0.715,0.6405228758169934,0.98
262144,98,2,55,45,0.715,0.6405228758169934,0.98
524288,98,2,55,45,0.715,0.6405228758169934,0.98
1048576,98,2,55,45,0.715,0.6405228758169934,0.98
2097152,98,2,55,45,0.715,0.6405228758169934,0.98
4194304,98,2,55,45,0.715,0.6405228758169934,0.98
8388608,98,2,55,45,0.715,0.6405228758169934,0.98
16777216,98,2,55,45,0.715,0.6405228758169934,0.98
33554432,98,2,55,45,0.715,0.6405228758169934,0.98
67108864,98,2,55,45,0.715,0.6405228758169934,0.98
134217728,98,2,55,45,0.715,0.6405228758169934,0.98
268435456,98,2,55,45,0.715,0.6405228758169934,0.98
536870912,98,2,55,45,0.715,0.6405228758169934,0.98
1073741824,98,2,55,45,0.715,0.6405228758169934,0.98
2147483648,98,2,55,45,0.715,0.6405228758169934,0.98
4294967296,98,2,55,45,0.715,0.6405228758169934,0.98
8589934592,98,2,55,45,0.715,0.6405228758169934,0.98
17179869184,98,2,55,45,0.715,0.6405228758169934,0.98
34359738368,98,2,55,45,0.715,0.6405228758169934,0.98
68719476736,98,2,55,45,0.715,0.6405228758169934,0.98
