low-freq,tp,fn,fp,tn,accuracy,precision,recall
1,97,3,63,37,0.67,0.60625,0.97
2,98,2,65,35,0.665,0.6012269938650306,0.98
3,98,2,66,34,0.66,0.5975609756097561,0.98
4,98,2,67,33,0.655,0.593939393939394,0.98
5,98,2,70,30,0.64,0.5833333333333334,0.98
6,98,2,70,30,0.64,0.5833333333333334,0.98
7,98,2,72,28,0.63,0.5764705882352941,0.98
8,98,2,72,28,0.63,0.5764705882352941,0.98
9,98,2,74,26,0.62,0.5697674418604651,0.98
10,98,2,79,21,0.595,0.5536723163841808,0.98
11,98,2,79,21,0.595,0.5536723163841808,0.98
12,98,2,79,21,0.595,0.5536723163841808,0.98
13,98,2,79,21,0.595,0.5536723163841808,0.98
14,98,2,80,20,0.59,0.550561797752809,0.98
15,98,2,79,21,0.595,0.5536723163841808,0.98
16,98,2,79,21,0.595,0.5536723163841808,0.98
17,98,2,79,21,0.595,0.5536723163841808,0.98
18,98,2,79,21,0.595,0.5536723163841808,0.98
19,98,2,79,21,0.595,0.5536723163841808,0.98
20,98,2,79,21,0.595,0.5536723163841808,0.98
21,98,2,80,20,0.59,0.550561797752809,0.98
22,98,2,80,20,0.59,0.550561797752809,0.98
23,98,2,79,21,0.595,0.5536723163841808,0.98
24,98,2,79,21,0.595,0.5536723163841808,0.98
25,98,2,79,21,0.595,0.5536723163841808,0.98
26,98,2,79,21,0.595,0.5536723163841808,0.98
27,98,2,79,21,0.595,0.5536723163841808,0.98
28,98,2,79,21,0.595,0.5536723163841808,0.98
29,98,2,79,21,0.595,0.5536723163841808,0.98
30,98,2,78,22,0.6,0.5568181818181818,0.98
31,97,3,80,20,0.585,0.5480225988700564,0.97
32,97,3,80,20,0.585,0.5480225988700564,0.97
33,97,3,81,19,0.58,0.5449438202247191,0.97
34,97,3,81,19,0.58,0.5449438202247191,0.97
35,97,3,81,19,0.58,0.5449438202247191,0.97
36,97,3,81,19,0.58,0.5449438202247191,0.97
37,97,3,82,18,0.575,0.5418994413407822,0.97
38,97,3,82,18,0.575,0.5418994413407822,0.97
39,97,3,82,18,0.575,0.5418994413407822,0.97
40,97,3,82,18,0.575,0.5418994413407822,0.97
41,97,3,83,17,0.57,0.5388888888888889,0.97
42,97,3,83,17,0.57,0.5388888888888889,0.97
43,97,3,83,17,0.57,0.5388888888888889,0.97
44,97,3,82,18,0.575,0.5418994413407822,0.97
45,97,3,82,18,0.575,0.5418994413407822,0.97
46,97,3,82,18,0.575,0.5418994413407822,0.97
47,97,3,83,17,0.57,0.5388888888888889,0.97
48,97,3,83,17,0.57,0.5388888888888889,0.97
49,97,3,83,17,0.57,0.5388888888888889,0.97
50,97,3,83,17,0.57,0.5388888888888889,0.97
51,97,3,83,17,0.57,0.5388888888888889,0.97
52,97,3,83,17,0.57,0.5388888888888889,0.97
53,97,3,83,17,0.57,0.5388888888888889,0.97
54,97,3,83,17,0.57,0.5388888888888889,0.97
55,97,3,83,17,0.57,0.5388888888888889,0.97
56,97,3,83,17,0.57,0.5388888888888889,0.97
57,97,3,82,18,0.575,0.5418994413407822,0.97
58,97,3,83,17,0.57,0.5388888888888889,0.97
59,97,3,83,17,0.57,0.5388888888888889,0.97
60,97,3,83,17,0.57,0.5388888888888889,0.97
61,97,3,83,17,0.57,0.5388888888888889,0.97
62,97,3,85,15,0.56,0.532967032967033,0.97
63,97,3,85,15,0.56,0.532967032967033,0.97
64,97,3,85,15,0.56,0.532967032967033,0.97
65,97,3,85,15,0.56,0.532967032967033,0.97
66,97,3,84,16,0.565,0.5359116022099447,0.97
67,97,3,84,16,0.565,0.5359116022099447,0.97
68,97,3,84,16,0.565,0.5359116022099447,0.97
69,97,3,84,16,0.565,0.5359116022099447,0.97
70,97,3,84,16,0.565,0.5359116022099447,0.97
71,97,3,84,16,0.565,0.5359116022099447,0.97
72,97,3,84,16,0.565,0.5359116022099447,0.97
73,97,3,84,16,0.565,0.5359116022099447,0.97
74,97,3,84,16,0.565,0.5359116022099447,0.97
75,97,3,84,16,0.565,0.5359116022099447,0.97
76,97,3,84,16,0.565,0.5359116022099447,0.97
77,97,3,84,16,0.565,0.5359116022099447,0.97
78,97,3,84,16,0.565,0.5359116022099447,0.97
79,97,3,84,16,0.565,0.5359116022099447,0.97
80,97,3,91,9,0.53,0.5159574468085106,0.97
81,97,3,91,9,0.53,0.5159574468085106,0.97
82,97,3,91,9,0.53,0.5159574468085106,0.97
83,97,3,91,9,0.53,0.5159574468085106,0.97
84,97,3,90,10,0.535,0.5187165775401069,0.97
85,97,3,90,10,0.535,0.5187165775401069,0.97
86,97,3,90,10,0.535,0.5187165775401069,0.97
87,97,3,90,10,0.535,0.5187165775401069,0.97
88,97,3,91,9,0.53,0.5159574468085106,0.97
89,97,3,92,8,0.525,0.5132275132275133,0.97
90,97,3,92,8,0.525,0.5132275132275133,0.97
91,97,3,91,9,0.53,0.5159574468085106,0.97
92,97,3,91,9,0.53,0.5159574468085106,0.97
93,97,3,90,10,0.535,0.5187165775401069,0.97
94,97,3,90,10,0.535,0.5187165775401069,0.97
95,97,3,92,8,0.525,0.5132275132275133,0.97
96,97,3,92,8,0.525,0.5132275132275133,0.97
97,97,3,92,8,0.525,0.5132275132275133,0.97
98,97,3,92,8,0.525,0.5132275132275133,0.97
99,97,3,92,8,0.525,0.5132275132275133,0.97
100,97,3,92,8,0.525,0.5132275132275133,0.97
101,97,3,92,8,0.525,0.5132275132275133,0.97
102,97,3,92,8,0.525,0.5132275132275133,0.97
103,97,3,92,8,0.525,0.5132275132275133,0.97
104,97,3,92,8,0.525,0.5132275132275133,0.97
105,97,3,92,8,0.525,0.5132275132275133,0.97
107,97,3,92,8,0.525,0.5132275132275133,0.97
108,97,3,92,8,0.525,0.5132275132275133,0.97
109,97,3,92,8,0.525,0.5132275132275133,0.97
112,97,3,92,8,0.525,0.5132275132275133,0.97
113,97,3,92,8,0.525,0.5132275132275133,0.97
114,97,3,92,8,0.525,0.5132275132275133,0.97
115,97,3,92,8,0.525,0.5132275132275133,0.97
116,97,3,92,8,0.525,0.5132275132275133,0.97
117,97,3,92,8,0.525,0.5132275132275133,0.97
118,97,3,92,8,0.525,0.5132275132275133,0.97
119,97,3,92,8,0.525,0.5132275132275133,0.97
120,97,3,92,8,0.525,0.5132275132275133,0.97
121,97,3,92,8,0.525,0.5132275132275133,0.97
122,97,3,92,8,0.525,0.5132275132275133,0.97
123,97,3,92,8,0.525,0.5132275132275133,0.97
124,97,3,92,8,0.525,0.5132275132275133,0.97
125,97,3,92,8,0.525,0.5132275132275133,0.97
126,97,3,92,8,0.525,0.5132275132275133,0.97
127,97,3,92,8,0.525,0.5132275132275133,0.97
128,97,3,92,8,0.525,0.5132275132275133,0.97
129,97,3,92,8,0.525,0.5132275132275133,0.97
130,97,3,92,8,0.525,0.5132275132275133,0.97
131,97,3,92,8,0.525,0.5132275132275133,0.97
132,97,3,92,8,0.525,0.5132275132275133,0.97
133,97,3,92,8,0.525,0.5132275132275133,0.97
134,97,3,92,8,0.525,0.5132275132275133,0.97
135,97,3,92,8,0.525,0.5132275132275133,0.97
136,97,3,92,8,0.525,0.5132275132275133,0.97
137,97,3,92,8,0.525,0.5132275132275133,0.97
138,97,3,92,8,0.525,0.5132275132275133,0.97
139,97,3,92,8,0.525,0.5132275132275133,0.97
141,97,3,92,8,0.525,0.5132275132275133,0.97
142,97,3,92,8,0.525,0.5132275132275133,0.97
144,97,3,93,7,0.52,0.5105263157894737,0.97
145,97,3,93,7,0.52,0.5105263157894737,0.97
146,97,3,93,7,0.52,0.5105263157894737,0.97
148,97,3,93,7,0.52,0.5105263157894737,0.97
149,97,3,93,7,0.52,0.5105263157894737,0.97
150,97,3,93,7,0.52,0.5105263157894737,0.97
151,97,3,93,7,0.52,0.5105263157894737,0.97
152,97,3,93,7,0.52,0.5105263157894737,0.97
153,97,3,94,6,0.515,0.5078534031413613,0.97
154,97,3,94,6,0.515,0.5078534031413613,0.97
155,97,3,94,6,0.515,0.5078534031413613,0.97
157,97,3,94,6,0.515,0.5078534031413613,0.97
158,97,3,94,6,0.515,0.5078534031413613,0.97
159,97,3,94,6,0.515,0.5078534031413613,0.97
160,97,3,94,6,0.515,0.5078534031413613,0.97
161,97,3,94,6,0.515,0.5078534031413613,0.97
162,97,3,94,6,0.515,0.5078534031413613,0.97
163,97,3,94,6,0.515,0.5078534031413613,0.97
165,97,3,94,6,0.515,0.5078534031413613,0.97
166,97,3,94,6,0.515,0.5078534031413613,0.97
167,97,3,94,6,0.515,0.5078534031413613,0.97
168,97,3,94,6,0.515,0.5078534031413613,0.97
169,97,3,94,6,0.515,0.5078534031413613,0.97
170,97,3,94,6,0.515,0.5078534031413613,0.97
172,97,3,94,6,0.515,0.5078534031413613,0.97
173,97,3,94,6,0.515,0.5078534031413613,0.97
175,97,3,94,6,0.515,0.5078534031413613,0.97
176,97,3,94,6,0.515,0.5078534031413613,0.97
178,97,3,94,6,0.515,0.5078534031413613,0.97
180,97,3,94,6,0.515,0.5078534031413613,0.97
181,97,3,94,6,0.515,0.5078534031413613,0.97
182,97,3,94,6,0.515,0.5078534031413613,0.97
183,97,3,94,6,0.515,0.5078534031413613,0.97
187,97,3,94,6,0.515,0.5078534031413613,0.97
188,97,3,94,6,0.515,0.5078534031413613,0.97
190,97,3,94,6,0.515,0.5078534031413613,0.97
191,97,3,94,6,0.515,0.5078534031413613,0.97
192,97,3,94,6,0.515,0.5078534031413613,0.97
194,97,3,94,6,0.515,0.5078534031413613,0.97
195,97,3,94,6,0.515,0.5078534031413613,0.97
197,97,3,94,6,0.515,0.5078534031413613,0.97
198,97,3,94,6,0.515,0.5078534031413613,0.97
200,97,3,94,6,0.515,0.5078534031413613,0.97
201,97,3,94,6,0.515,0.5078534031413613,0.97
203,97,3,94,6,0.515,0.5078534031413613,0.97
204,97,3,94,6,0.515,0.5078534031413613,0.97
205,97,3,94,6,0.515,0.5078534031413613,0.97
208,97,3,94,6,0.515,0.5078534031413613,0.97
