low-freq,tp,fn,fp,tn,accuracy,precision,recall
1,98,2,51,49,0.735,0.6577181208053692,0.98
2,98,2,59,41,0.695,0.6242038216560509,0.98
3,98,2,61,39,0.685,0.6163522012578616,0.98
4,98,2,62,38,0.68,0.6125,0.98
5,98,2,64,36,0.67,0.6049382716049383,0.98
6,98,2,63,37,0.675,0.6086956521739131,0.98
7,98,2,65,35,0.665,0.6012269938650306,0.98
8,98,2,65,35,0.665,0.6012269938650306,0.98
9,98,2,66,34,0.66,0.5975609756097561,0.98
10,98,2,71,29,0.635,0.5798816568047337,0.98
11,98,2,71,29,0.635,0.5798816568047337,0.98
12,98,2,72,28,0.63,0.5764705882352941,0.98
13,98,2,73,27,0.625,0.5730994152046783,0.98
14,98,2,75,25,0.615,0.5664739884393064,0.98
15,97,3,75,25,0.61,0.563953488372093,0.97
16,97,3,75,25,0.61,0.563953488372093,0.97
17,97,3,75,25,0.61,0.563953488372093,0.97
18,97,3,75,25,0.61,0.563953488372093,0.97
19,97,3,75,25,0.61,0.563953488372093,0.97
20,97,3,75,25,0.61,0.563953488372093,0.97
21,97,3,76,24,0.605,0.5606936416184971,0.97
22,97,3,75,25,0.61,0.563953488372093,0.97
23,97,3,75,25,0.61,0.563953488372093,0.97
24,97,3,75,25,0.61,0.563953488372093,0.97
25,97,3,75,25,0.61,0.563953488372093,0.97
26,97,3,75,25,0.61,0.563953488372093,0.97
27,97,3,75,25,0.61,0.563953488372093,0.97
28,97,3,76,24,0.605,0.5606936416184971,0.97
29,97,3,76,24,0.605,0.5606936416184971,0.97
30,97,3,76,24,0.605,0.5606936416184971,0.97
31,96,4,79,21,0.585,0.5485714285714286,0.96
32,97,3,79,21,0.59,0.5511363636363636,0.97
33,97,3,81,19,0.58,0.5449438202247191,0.97
34,97,3,80,20,0.585,0.5480225988700564,0.97
35,97,3,80,20,0.585,0.5480225988700564,0.97
36,97,3,80,20,0.585,0.5480225988700564,0.97
37,97,3,80,20,0.585,0.5480225988700564,0.97
38,97,3,80,20,0.585,0.5480225988700564,0.97
39,97,3,80,20,0.585,0.5480225988700564,0.97
40,97,3,80,20,0.585,0.5480225988700564,0.97
41,97,3,80,20,0.585,0.5480225988700564,0.97
42,97,3,80,20,0.585,0.5480225988700564,0.97
43,97,3,80,20,0.585,0.5480225988700564,0.97
44,97,3,79,21,0.59,0.5511363636363636,0.97
45,97,3,78,22,0.595,0.5542857142857143,0.97
46,97,3,78,22,0.595,0.5542857142857143,0.97
47,97,3,79,21,0.59,0.5511363636363636,0.97
48,97,3,78,22,0.595,0.5542857142857143,0.97
49,97,3,78,22,0.595,0.5542857142857143,0.97
50,97,3,78,22,0.595,0.5542857142857143,0.97
51,97,3,78,22,0.595,0.5542857142857143,0.97
52,97,3,78,22,0.595,0.5542857142857143,0.97
53,97,3,78,22,0.595,0.5542857142857143,0.97
54,97,3,78,22,0.595,0.5542857142857143,0.97
55,97,3,78,22,0.595,0.5542857142857143,0.97
56,97,3,78,22,0.595,0.5542857142857143,0.97
57,97,3,77,23,0.6,0.5574712643678161,0.97
58,97,3,78,22,0.595,0.5542857142857143,0.97
59,97,3,78,22,0.595,0.5542857142857143,0.97
60,97,3,78,22,0.595,0.5542857142857143,0.97
61,97,3,78,22,0.595,0.5542857142857143,0.97
62,97,3,80,20,0.585,0.5480225988700564,0.97
63,97,3,80,20,0.585,0.5480225988700564,0.97
64,96,4,80,20,0.58,0.5454545454545454,0.96
65,96,4,80,20,0.58,0.5454545454545454,0.96
66,96,4,79,21,0.585,0.5485714285714286,0.96
67,96,4,79,21,0.585,0.5485714285714286,0.96
68,96,4,79,21,0.585,0.5485714285714286,0.96
69,96,4,79,21,0.585,0.5485714285714286,0.96
70,96,4,79,21,0.585,0.5485714285714286,0.96
71,96,4,80,20,0.58,0.5454545454545454,0.96
72,96,4,80,20,0.58,0.5454545454545454,0.96
73,96,4,80,20,0.58,0.5454545454545454,0.96
74,96,4,79,21,0.585,0.5485714285714286,0.96
75,96,4,79,21,0.585,0.5485714285714286,0.96
76,96,4,79,21,0.585,0.5485714285714286,0.96
77,96,4,80,20,0.58,0.5454545454545454,0.96
78,96,4,80,20,0.58,0.5454545454545454,0.96
80,96,4,87,13,0.545,0.5245901639344263,0.96
81,96,4,87,13,0.545,0.5245901639344263,0.96
82,96,4,87,13,0.545,0.5245901639344263,0.96
83,96,4,87,13,0.545,0.5245901639344263,0.96
84,96,4,86,14,0.55,0.5274725274725275,0.96
85,96,4,86,14,0.55,0.5274725274725275,0.96
86,96,4,86,14,0.55,0.5274725274725275,0.96
87,96,4,85,15,0.555,0.5303867403314917,0.96
88,96,4,86,14,0.55,0.5274725274725275,0.96
89,96,4,87,13,0.545,0.5245901639344263,0.96
90,96,4,87,13,0.545,0.5245901639344263,0.96
91,96,4,86,14,0.55,0.5274725274725275,0.96
92,96,4,86,14,0.55,0.5274725274725275,0.96
93,96,4,86,14,0.55,0.5274725274725275,0.96
94,96,4,86,14,0.55,0.5274725274725275,0.96
95,96,4,88,12,0.54,0.5217391304347826,0.96
96,96,4,88,12,0.54,0.5217391304347826,0.96
98,96,4,88,12,0.54,0.5217391304347826,0.96
99,96,4,88,12,0.54,0.5217391304347826,0.96
100,96,4,88,12,0.54,0.5217391304347826,0.96
101,96,4,88,12,0.54,0.5217391304347826,0.96
103,96,4,88,12,0.54,0.5217391304347826,0.96
104,96,4,88,12,0.54,0.5217391304347826,0.96
105,96,4,88,12,0.54,0.5217391304347826,0.96
107,96,4,88,12,0.54,0.5217391304347826,0.96
113,96,4,88,12,0.54,0.5217391304347826,0.96
116,96,4,88,12,0.54,0.5217391304347826,0.96
117,96,4,88,12,0.54,0.5217391304347826,0.96
118,96,4,88,12,0.54,0.5217391304347826,0.96
123,96,4,88,12,0.54,0.5217391304347826,0.96
126,96,4,88,12,0.54,0.5217391304347826,0.96
127,96,4,88,12,0.54,0.5217391304347826,0.96
128,96,4,88,12,0.54,0.5217391304347826,0.96
129,96,4,88,12,0.54,0.5217391304347826,0.96
134,96,4,88,12,0.54,0.5217391304347826,0.96
135,96,4,88,12,0.54,0.5217391304347826,0.96
136,96,4,88,12,0.54,0.5217391304347826,0.96
141,96,4,88,12,0.54,0.5217391304347826,0.96
144,96,4,91,9,0.525,0.5133689839572193,0.96
145,96,4,91,9,0.525,0.5133689839572193,0.96
146,96,4,91,9,0.525,0.5133689839572193,0.96
147,96,4,91,9,0.525,0.5133689839572193,0.96
148,96,4,91,9,0.525,0.5133689839572193,0.96
149,96,4,91,9,0.525,0.5133689839572193,0.96
151,96,4,91,9,0.525,0.5133689839572193,0.96
153,96,4,92,8,0.52,0.5106382978723404,0.96
154,96,4,93,7,0.515,0.5079365079365079,0.96
156,97,3,94,6,0.515,0.5078534031413613,0.97
162,97,3,94,6,0.515,0.5078534031413613,0.97
168,97,3,94,6,0.515,0.5078534031413613,0.97
169,97,3,94,6,0.515,0.5078534031413613,0.97
170,97,3,94,6,0.515,0.5078534031413613,0.97
172,97,3,94,6,0.515,0.5078534031413613,0.97
176,97,3,94,6,0.515,0.5078534031413613,0.97
178,97,3,94,6,0.515,0.5078534031413613,0.97
180,97,3,94,6,0.515,0.5078534031413613,0.97
181,97,3,94,6,0.515,0.5078534031413613,0.97
183,97,3,94,6,0.515,0.5078534031413613,0.97
195,97,3,94,6,0.515,0.5078534031413613,0.97
197,97,3,94,6,0.515,0.5078534031413613,0.97
198,96,4,94,6,0.51,0.5052631578947369,0.96
203,96,4,94,6,0.51,0.5052631578947369,0.96
215,96,4,93,7,0.515,0.5079365079365079,0.96
217,96,4,93,7,0.515,0.5079365079365079,0.96
218,97,3,94,6,0.515,0.5078534031413613,0.97
219,97,3,94,6,0.515,0.5078534031413613,0.97
228,97,3,94,6,0.515,0.5078534031413613,0.97
231,97,3,94,6,0.515,0.5078534031413613,0.97
232,97,3,94,6,0.515,0.5078534031413613,0.97
242,97,3,94,6,0.515,0.5078534031413613,0.97
248,97,3,94,6,0.515,0.5078534031413613,0.97
265,97,3,94,6,0.515,0.5078534031413613,0.97
275,97,3,94,6,0.515,0.5078534031413613,0.97
302,97,3,98,2,0.495,0.49743589743589745,0.97
324,97,3,99,1,0.49,0.49489795918367346,0.97
328,97,3,99,1,0.49,0.49489795918367346,0.97
343,97,3,99,1,0.49,0.49489795918367346,0.97
345,97,3,99,1,0.49,0.49489795918367346,0.97
346,97,3,99,1,0.49,0.49489795918367346,0.97
362,97,3,99,1,0.49,0.49489795918367346,0.97
366,97,3,99,1,0.49,0.49489795918367346,0.97
371,97,3,99,1,0.49,0.49489795918367346,0.97
382,97,3,99,1,0.49,0.49489795918367346,0.97
390,96,4,99,1,0.485,0.49230769230769234,0.96
397,96,4,99,1,0.485,0.49230769230769234,0.96
444,96,4,99,1,0.485,0.49230769230769234,0.96
447,96,4,99,1,0.485,0.49230769230769234,0.96
448,96,4,99,1,0.485,0.49230769230769234,0.96
476,96,4,99,1,0.485,0.49230769230769234,0.96
556,96,4,98,2,0.49,0.4948453608247423,0.96
581,95,5,98,2,0.485,0.49222797927461137,0.95
598,94,6,98,2,0.48,0.4895833333333333,0.94
670,92,8,97,3,0.475,0.48677248677248675,0.92
708,91,9,97,3,0.47,0.48404255319148937,0.91
775,91,9,97,3,0.47,0.48404255319148937,0.91
