high-freq,tp,fn,fp,tn,accuracy,precision,recall
5938,98,2,42,58,0.78,0.7,0.98
4031,98,2,41,59,0.785,0.7050359712230215,0.98
3545,98,2,41,59,0.785,0.7050359712230215,0.98
3139,98,2,41,59,0.785,0.7050359712230215,0.98
2863,98,2,41,59,0.785,0.7050359712230215,0.98
2756,98,2,40,60,0.79,0.7101449275362319,0.98
2718,98,2,40,60,0.79,0.7101449275362319,0.98
2671,98,2,39,61,0.795,0.7153284671532847,0.98
2481,98,2,40,60,0.79,0.7101449275362319,0.98
2351,98,2,40,60,0.79,0.7101449275362319,0.98
2346,98,2,40,60,0.79,0.7101449275362319,0.98
2078,98,2,40,60,0.79,0.7101449275362319,0.98
1718,98,2,40,60,0.79,0.7101449275362319,0.98
1497,98,2,40,60,0.79,0.7101449275362319,0.98
1324,98,2,40,60,0.79,0.7101449275362319,0.98
1320,97,3,39,61,0.79,0.7132352941176471,0.97
1309,97,3,39,61,0.79,0.7132352941176471,0.97
1265,97,3,39,61,0.79,0.7132352941176471,0.97
1254,97,3,39,61,0.79,0.7132352941176471,0.97
1188,97,3,39,61,0.79,0.7132352941176471,0.97
1174,97,3,38,62,0.795,0.7185185185185186,0.97
1100,96,4,38,62,0.79,0.7164179104477612,0.96
1075,96,4,38,62,0.79,0.7164179104477612,0.96
1056,96,4,38,62,0.79,0.7164179104477612,0.96
989,96,4,37,63,0.795,0.7218045112781954,0.96
963,96,4,36,64,0.8,0.7272727272727273,0.96
934,96,4,36,64,0.8,0.7272727272727273,0.96
898,96,4,36,64,0.8,0.7272727272727273,0.96
813,96,4,36,64,0.8,0.7272727272727273,0.96
806,96,4,36,64,0.8,0.7272727272727273,0.96
770,96,4,36,64,0.8,0.7272727272727273,0.96
760,96,4,36,64,0.8,0.7272727272727273,0.96
755,96,4,36,64,0.8,0.7272727272727273,0.96
750,96,4,36,64,0.8,0.7272727272727273,0.96
749,96,4,37,63,0.795,0.7218045112781954,0.96
732,96,4,37,63,0.795,0.7218045112781954,0.96
724,96,4,37,63,0.795,0.7218045112781954,0.96
642,96,4,37,63,0.795,0.7218045112781954,0.96
616,96,4,37,63,0.795,0.7218045112781954,0.96
604,96,4,37,63,0.795,0.7218045112781954,0.96
599,96,4,37,63,0.795,0.7218045112781954,0.96
598,95,5,37,63,0.79,0.7196969696969697,0.95
586,95,5,37,63,0.79,0.7196969696969697,0.95
580,95,5,37,63,0.79,0.7196969696969697,0.95
562,95,5,37,63,0.79,0.7196969696969697,0.95
549,95,5,37,63,0.79,0.7196969696969697,0.95
535,95,5,36,64,0.795,0.7251908396946565,0.95
533,95,5,36,64,0.795,0.7251908396946565,0.95
530,95,5,36,64,0.795,0.7251908396946565,0.95
512,95,5,36,64,0.795,0.7251908396946565,0.95
507,95,5,36,64,0.795,0.7251908396946565,0.95
493,95,5,36,64,0.795,0.7251908396946565,0.95
487,95,5,36,64,0.795,0.7251908396946565,0.95
484,95,5,36,64,0.795,0.7251908396946565,0.95
482,95,5,36,64,0.795,0.7251908396946565,0.95
478,95,5,36,64,0.795,0.7251908396946565,0.95
473,95,5,35,65,0.8,0.7307692307692307,0.95
468,95,5,35,65,0.8,0.7307692307692307,0.95
466,95,5,33,67,0.81,0.7421875,0.95
453,95,5,33,67,0.81,0.7421875,0.95
441,95,5,33,67,0.81,0.7421875,0.95
436,95,5,33,67,0.81,0.7421875,0.95
433,95,5,33,67,0.81,0.7421875,0.95
431,95,5,33,67,0.81,0.7421875,0.95
428,95,5,33,67,0.81,0.7421875,0.95
423,95,5,33,67,0.81,0.7421875,0.95
419,95,5,33,67,0.81,0.7421875,0.95
410,95,5,33,67,0.81,0.7421875,0.95
408,95,5,33,67,0.81,0.7421875,0.95
404,95,5,33,67,0.81,0.7421875,0.95
403,95,5,33,67,0.81,0.7421875,0.95
401,95,5,33,67,0.81,0.7421875,0.95
394,95,5,33,67,0.81,0.7421875,0.95
383,95,5,33,67,0.81,0.7421875,0.95
382,95,5,33,67,0.81,0.7421875,0.95
381,95,5,33,67,0.81,0.7421875,0.95
376,95,5,33,67,0.81,0.7421875,0.95
368,95,5,33,67,0.81,0.7421875,0.95
366,95,5,33,67,0.81,0.7421875,0.95
365,95,5,33,67,0.81,0.7421875,0.95
364,95,5,33,67,0.81,0.7421875,0.95
360,95,5,33,67,0.81,0.7421875,0.95
359,95,5,33,67,0.81,0.7421875,0.95
354,95,5,33,67,0.81,0.7421875,0.95
343,95,5,33,67,0.81,0.7421875,0.95
335,95,5,33,67,0.81,0.7421875,0.95
333,95,5,33,67,0.81,0.7421875,0.95
328,95,5,33,67,0.81,0.7421875,0.95
315,95,5,33,67,0.81,0.7421875,0.95
314,95,5,33,67,0.81,0.7421875,0.95
294,95,5,33,67,0.81,0.7421875,0.95
293,95,5,33,67,0.81,0.7421875,0.95
290,95,5,33,67,0.81,0.7421875,0.95
287,95,5,33,67,0.81,0.7421875,0.95
286,95,5,33,67,0.81,0.7421875,0.95
285,95,5,33,67,0.81,0.7421875,0.95
284,95,5,33,67,0.81,0.7421875,0.95
