alpha-num,neg_res,non_res
1,100.0,42.04545454545455
2,100.0,42.04545454545455
4,100.0,42.04545454545455
8,100.0,42.04545454545455
16,100.0,42.04545454545455
32,100.0,42.04545454545455
64,100.0,42.04545454545455
128,100.0,42.04545454545455
256,100.0,42.04545454545455
512,100.0,42.04545454545455
1024,100.0,42.04545454545455
2048,100.0,42.04545454545455
4096,100.0,42.04545454545455
8192,100.0,42.04545454545455
16384,100.0,42.04545454545455
32768,100.0,42.04545454545455
65536,100.0,42.04545454545455
131072,100.0,42.04545454545455
262144,100.0,42.04545454545455
524288,100.0,42.04545454545455
1048576,100.0,42.04545454545455
2097152,100.0,42.04545454545455
4194304,100.0,42.04545454545455
8388608,100.0,42.04545454545455
16777216,100.0,42.04545454545455
33554432,100.0,42.04545454545455
67108864,100.0,42.04545454545455
134217728,100.0,42.04545454545455
268435456,100.0,42.04545454545455
536870912,100.0,42.04545454545455
1073741824,100.0,42.04545454545455
2147483648,100.0,42.04545454545455
4294967296,100.0,42.04545454545455
8589934592,100.0,42.04545454545455
17179869184,100.0,42.04545454545455
34359738368,100.0,42.04545454545455
68719476736,100.0,42.04545454545455
