high-freq,tp,fn,fp,tn,accuracy,precision,recall
5939,99,1,58,42,0.705,0.6305732484076433,0.99
4031,99,1,58,42,0.705,0.6305732484076433,0.99
3545,99,1,58,42,0.705,0.6305732484076433,0.99
3501,99,1,58,42,0.705,0.6305732484076433,0.99
3139,99,1,56,44,0.715,0.6387096774193548,0.99
2756,99,1,56,44,0.715,0.6387096774193548,0.99
2720,99,1,53,47,0.73,0.6513157894736842,0.99
2671,99,1,53,47,0.73,0.6513157894736842,0.99
2569,99,1,53,47,0.73,0.6513157894736842,0.99
2481,99,1,53,47,0.73,0.6513157894736842,0.99
2351,98,2,52,48,0.73,0.6533333333333333,0.98
2346,98,2,51,49,0.735,0.6577181208053692,0.98
2078,98,2,50,50,0.74,0.6621621621621622,0.98
1915,98,2,50,50,0.74,0.6621621621621622,0.98
1749,98,2,50,50,0.74,0.6621621621621622,0.98
1720,98,2,50,50,0.74,0.6621621621621622,0.98
1695,98,2,50,50,0.74,0.6621621621621622,0.98
1557,98,2,50,50,0.74,0.6621621621621622,0.98
1497,98,2,49,51,0.745,0.6666666666666666,0.98
1446,98,2,48,52,0.75,0.6712328767123288,0.98
1336,98,2,48,52,0.75,0.6712328767123288,0.98
1320,98,2,48,52,0.75,0.6712328767123288,0.98
1309,97,3,47,53,0.75,0.6736111111111112,0.97
1272,98,2,53,47,0.725,0.6490066225165563,0.98
1270,98,2,53,47,0.725,0.6490066225165563,0.98
1265,98,2,53,47,0.725,0.6490066225165563,0.98
1264,98,2,53,47,0.725,0.6490066225165563,0.98
1262,98,2,52,48,0.73,0.6533333333333333,0.98
1206,98,2,52,48,0.73,0.6533333333333333,0.98
1189,97,3,52,48,0.725,0.6510067114093959,0.97
1169,97,3,52,48,0.725,0.6510067114093959,0.97
1078,97,3,52,48,0.725,0.6510067114093959,0.97
1075,97,3,50,50,0.735,0.6598639455782312,0.97
1056,97,3,50,50,0.735,0.6598639455782312,0.97
999,97,3,50,50,0.735,0.6598639455782312,0.97
990,97,3,49,51,0.74,0.6643835616438356,0.97
981,97,3,48,52,0.745,0.6689655172413793,0.97
934,97,3,48,52,0.745,0.6689655172413793,0.97
898,97,3,48,52,0.745,0.6689655172413793,0.97
885,97,3,48,52,0.745,0.6689655172413793,0.97
877,97,3,48,52,0.745,0.6689655172413793,0.97
866,97,3,48,52,0.745,0.6689655172413793,0.97
806,97,3,47,53,0.75,0.6736111111111112,0.97
