low-freq,tp,fn,fp,tn,accuracy,precision,recall
1,98,2,60,40,0.69,0.620253164556962,0.98
2,99,1,65,35,0.67,0.6036585365853658,0.99
3,98,2,67,33,0.655,0.593939393939394,0.98
4,98,2,68,32,0.65,0.5903614457831325,0.98
5,98,2,70,30,0.64,0.5833333333333334,0.98
6,99,1,70,30,0.645,0.5857988165680473,0.99
7,99,1,71,29,0.64,0.5823529411764706,0.99
8,99,1,71,29,0.64,0.5823529411764706,0.99
9,99,1,71,29,0.64,0.5823529411764706,0.99
10,99,1,77,23,0.61,0.5625,0.99
11,99,1,76,24,0.615,0.5657142857142857,0.99
12,99,1,79,21,0.6,0.5561797752808989,0.99
13,99,1,80,20,0.595,0.553072625698324,0.99
14,99,1,81,19,0.59,0.55,0.99
15,99,1,81,19,0.59,0.55,0.99
16,99,1,82,18,0.585,0.5469613259668509,0.99
17,99,1,82,18,0.585,0.5469613259668509,0.99
18,99,1,82,18,0.585,0.5469613259668509,0.99
19,99,1,82,18,0.585,0.5469613259668509,0.99
20,99,1,82,18,0.585,0.5469613259668509,0.99
21,99,1,83,17,0.58,0.5439560439560439,0.99
22,99,1,83,17,0.58,0.5439560439560439,0.99
23,99,1,83,17,0.58,0.5439560439560439,0.99
24,99,1,83,17,0.58,0.5439560439560439,0.99
25,99,1,83,17,0.58,0.5439560439560439,0.99
26,99,1,83,17,0.58,0.5439560439560439,0.99
27,99,1,83,17,0.58,0.5439560439560439,0.99
28,99,1,83,17,0.58,0.5439560439560439,0.99
29,99,1,83,17,0.58,0.5439560439560439,0.99
30,99,1,83,17,0.58,0.5439560439560439,0.99
31,99,1,83,17,0.58,0.5439560439560439,0.99
32,99,1,83,17,0.58,0.5439560439560439,0.99
33,99,1,85,15,0.57,0.5380434782608695,0.99
34,99,1,85,15,0.57,0.5380434782608695,0.99
35,99,1,85,15,0.57,0.5380434782608695,0.99
36,99,1,85,15,0.57,0.5380434782608695,0.99
37,99,1,86,14,0.565,0.5351351351351351,0.99
38,99,1,86,14,0.565,0.5351351351351351,0.99
39,99,1,87,13,0.56,0.532258064516129,0.99
40,99,1,87,13,0.56,0.532258064516129,0.99
41,99,1,87,13,0.56,0.532258064516129,0.99
42,99,1,87,13,0.56,0.532258064516129,0.99
43,99,1,87,13,0.56,0.532258064516129,0.99
